Lyric,Genre,Artist
Daddy oh Daddy. Poppy oh Poppy. I need to Dance. [Chorus:]. Cause she shakin it for daddy she shakin it for me. she shakin it for daddy she shakin it for me. she liftin up her ass and she drop it to the beat. she shakin it for dad for the cash (jiggling). she really really really lookin for a bankroll (jiggling). she move it round and round like a mary-go-ring (jiggling). she be like i be i be i be on that money shit (jiggling). she be like i be i be i be on that money shit. Ayo I be I be I be I be I be on that money shit. get that sloppy toppy roqer copy. I be runinninq shit money in the air its a festival cuz. I ba ba ba ba ball no testiculs. I'm flyer than a eaqle that's baldinq. I throw it back like hair lines that's baldinq. I stay ballinq I don't mean spaldinq. I never answer wen the refures calling. she be droppin in the club think im bout to fall in love. cause she make that booty roll when she cum. onto the pole thats why she got my heart. from cash to credit card she got me sendin. all my money shit i could of bought a car.. you know you like it daddy you know you like it babe. yeah i like it babe yeah it like it babe. you know you want it babe yeah you want it babe yeah. i want it babe. [Chorus]. And then this other girl grabbed me and she whispered in my ear. she said this other girl aint doin shit. it's crackin over here she put my hand on her booty. and it jiggle and me whoosy. now we bout to make a movie in the club goin stick. you know you like it babe you know you like it babe. yeah i like it babe yeah i like it babe. you know you want it babe yeah you want it babe. yeah i want it babe. [Chorus]. You was sleppinq on me thinkin' it was slumber time now. I'mma chanqe the topic. lil mamma number siqn wa wanna play. meet me at the fumble line cuz I'm a ninja karbonqa. time buzzinq like a bee but nope. I don't stand a ling ching a ling a ling. I show dem the middle finqer rinq tinq a linq a linq. skool bells a rinq a linq. stiff shift the dinq a linq ball like yall minq a linq. excuse me wat happen. I'm flyer than a robin. I'm flyer than a eagle ya dun a make it nothinq and when. I pop my pussy. I pop it on his suzki I pop it so crazy cooky. I'm back in them dazi dookies. I be shakin it for daddy he want more more more. got that bently go that cadie and there. all four door if I pull him by the collar boy he gonna holla. I be shakin it for daddy he want more more more,Pop,Nicki Minaj
"Dis is, the point when I need. Everybody get to the dance floor. It's like that y'all (that y'all), that y'all (that y'all). Da da da da, I like that y'all (that y'all). It's like that y'all (that y'all), that y'all (that y'all). Like that, that, that, that, I like that y'all (that y'all) Mc. I came to have a party. Open off the Bacardi. Feeling so hot tamale. Boy, I know you watchin me. So what's it gonna be?. Purple taking me higher. I'm lifted and I like it. Boy, you got me inspired. Baby, come and get it. If you're really feelin me. Cuz it's my night. No stress, no fights. I'm leavin it all behind. No tears, no time to cry. Just makin the most of life. Everybody is livin it up (Uh). All the fellas keep lookin' at us (cuz). Me and my girls on the floor like what. While the Dj keeps on spinnin the cut. It's like that y'all (that y'all), that y'all (that y'all). It's like that, that, that, that, I like that y'all (that y'all). It's like that y'all (that y'all), that y'all (that y'all). It's like that, that, that, that, I like that y'all (that y'all). You like this and you know it. Caution, it's so explosive. Them chickens is ash and I'm lotion. Baby, come and get it. Let me give you what you need. It's a special occasion. Mimi's emancipation. A cause for celebration. I ain't gonna let nobody's drama bother me. Cuz it's my night. No stress, no fights. I'm leavin it all behind. No tears (no tears), no time to cry. Just makin the most of life. Everybody is livin it up (Uh). All the fellas keep lookin at us (cuz). Me and my girls on the floor like what. While the Dj keeps on spinnin the cut. It's like that y'all (that y'all), that y'all (that y'all). It's like that, that, that, that, I like that y'all (that y'all). It's like that y'all (that y'all), that y'all (that y'all). It's like that, that, that, that, I like that y'all (that y'all). Cuz it's my night (it's my, it's my night). No stress, no fights. I'm leaving it all behind. No tears (no tears), no time to cry. Baby, I'm making the most of life. Everybody is livin it up (I said everybody). All the fellas keep lookin at us (lookin at us). Me and my girls on the floor like what. While the Dj keeps on spinning the cut. It's like that y'all (that y'all), that y'all (that y'all). It's like that, that, that, that, I like that y'all (that y'all). It's like that y'all (that y'all), that y'all (that y'all). It's like that, that, that, that, I like that y'all (that y'all). This is my night. Let's Go Now (what), let's go now (what). Here we go now (what), here we go now (what). Let's Go Now (what), let's go now (what). Here we go now (what), here we go now (what). Let's Go Now (what), let's go now (what). Here we go now (what), here we go now (what). Let's Go Now (what), let's go now (what). Here we go now (what), here we go now (what)",Pop,Mariah Carey
"You had a lot of crooks tryna steal your heart. Never really had luck, couldn't never figure out. How to love. How to love. You had a lot of moments that didn't last forever. Now you in the corner tryna put it together. How to love. How to love. When you was just a young'un you're looks but so precious. But now your grown up. So fly its like a blessing but you can't have a man look at you for 5 seconds. Without you being insecure. You never credit yourself so when you got older. It's seems like you came back 10 times over. Now you're sitting here in this same corner. Looking through all your thoughts and looking over your shoulder. See you had a lot of crooks tryna steal your heart. Never really had luck, couldn't never figure out. How to love. How to love. You had a lot of moments that didn't last forever. Now you in the corner tryna put it together. How to love. How to love. For a second you were here. Why you over there?. Its hard not to stare the way you move thinking. Like you never had a love. Had a love. You had a lot of dreams that transform to visions. The fact that you saw the world affected all your decisions. But it wasn't your fault. Wasn't in your intentions. You the one here talking to me. You don't wanna listen. But i admire your poppin bottles and grinning. Just as much as you admire the begining'. So don't be mad. Nobody else trippin. You see a lot of crooks and the crooks still crook. See you had a lot of crooks tryna steal your heart. Never really had luck, couldn't never figure out. How to love. How to love. See you had a lot of moments that didn't last forever. Now you in the corner tryna put it together. How to love. How to love. Oooh,. See i just want you to know. That you deserve the best. You're beautiful. You're beautiful. Yeah. And i just want you to know, you're far from the usual. Far from the usual. far from the usual, far from the usual. Yeaaaaaaaaah. You see you had a lot of crooks tryna steal your heart. Never really had luck, couldn't never figure out. How to love. How to love. You had a lot of moments that didn't last forever. Now you in the corner tryna put it together. How to love. Uuuu, Yeah.",Pop,Christina Grimmie
The blank pages. Of my diary. That I haven't touched. Since you left me. The closed blinds. In my home. See no light of day. Dust gathers. On my stereo. Cos I can't bare. To hear the radio. The piano sits. In a shaded space. With a picture. Of your face. I'm scared. To face another day. Cos the fear in me. Just won't go away. In an instant. You were gone. And I'm scared. Coffee stains. On your favorite book. Remind me of you. So I can't even look. The magazines. You left on the floor. You won't need. Them anymore. A towel left. Hangin on the wall. No sign of wet foosteps. In the hall. There's no smell. Of your sweet cologne. I'm lying here alone. I'm scared. To face another day. Cos the fear in me. Just won't go away. In an instant. You were gone. And now I'm scared. I'm scared. To face another day. Cos the fear in me. Just won't go away. In an instant. You were gone. Now I'm scared. In an instant. You were gone. And I'm scared,Pop,Britney Spears
"It's Christmas time. and there is just one thing i want. it tops them all is better then eggnog. It's cold outside. my boots are full of snow. I'm just hopping for some mistletoe. you can take these presents. Underneath my tree. You can take this awesome scarf my grandma made for me. You can take these boxes tied up with string. 'Cause all i want for Christmas is the girl of my dreams. (YEAH, whooo, hey, ho ho ho). Lights are going up. It's Christmas time. I just want that girl to be mine. Stockings full but I'm not satisfied. (no, no, no). so I'll just keep on waiting. until she is by my side. you can take these presents. Underneath my tree. You can take this awesome scarf my grandma made for me. You can take these boxes tied up with string. 'Cause all i want for Christmas is the girl of my dreams. fa la la la la. la la la. fa la la la. you can take these presents. Underneath my tree. You can take this awesome scarf my grandma made for me. i would give it all. just to let you see. that all i want for Christmas is the girl of my dreams. you can take these presents. Underneath my tree. You can take this awesome scarf my grandma made for me. i would give it all. just to let you see. that all i want for Christmas is the girl of my dreams",Pop,Jonas Brothers
"Once, there was a way to get back homeward. Once, there was a way to get back home. Sleep, pretty darling, do not cry. And I will sing a lullaby. Golden slumbers fill your eyes. Smiles awake you when you rise. Sleep, pretty darling, do not cry. And I will sing a lullaby. Once, there was a way to get back homeward. Once, there was a way to get back home. Sleep, pretty darling, do not cry. And I will sing a lullaby. Boy, you're going to carry that weight. Carry that weight a long time. Boy, you're going to carry that weight. Carry that weight a long time. I never give you my pillow. I only send you my invitations. And in the middle of the celebrations. I break, I break, I break down. Boy, you're going to carry that weight. Carry that weight a long time. Boy, you're going to carry that weight. Carry that weight a long time. Once, there was a way to get back homeward. Once, there was a way to get back home. Sleep, pretty darling, do not cry. And I will sing a lullaby",Pop,Jennifer Hudson
"Follow me to the river. In over your head this time. I'll take you down to the river. Baby, just you and I (baby, just you and I). I push you down a little deeper. Under the full moon sky. I'll get you a little closer. Just one breath from the other side. (One breath from the other side). Take me down to the river (I'll take you down to the river). In over my head this time. Take me down to the river (I'll take you down to the river). You're making me lose my mind. Take me down to the river (take me down to the river). Where the dirty gets sanctified. Sanctified. I'll watch you sinking in. There's nobody else. Sanctified. I'll watch you sink in. There's nobody else. Sanctified. Energy confront. Sanctified",Pop,The Veronicas
"I've been taking what you've given. Now I'm thinkin' I've been livin'. Fantasy of your sweet smile. Sad as blue and blue as only. You can cast the color on me. Can you see my fire rain. Ohh... Ohh.... C'est La Vie. C'est La Vie here am I lonely. C'est La Vie. C'est La Vie here am I lonely without him. Boy you swallow truth like honey. As you spew your lies upon me. Sweet and smooth as it goes down. Ohh... Ohh.... C'est La Vie. C'est La Vie here am I lonely. C'est La Vie. C'est La Vie here am I lonely without him. Oh say you, say me. Say always and forev'. 'Ver more I'll be. Your perfect little sugar bride. Oh if you could see,. The truth within our perfect harmony,. Your melody is bringing me down. Ohh... Ohh.... C'est La. C'est La Vie. C'est La Vie. C'est La Vie. C'est La Vie here am I lonely. C'est La Vie. C'est La Vie here am I lonely without him. Without him. Boy you swallow truth like honey",Pop,Vanessa Carlton
"I've been having a hard time sleeping. It's 7 am. And I've been up for about two hours.. I landed and did a show. And I had three shows in a row. And then in my day off I had to go into the studio.. Yesterday was another show,. As soon as I got off of the stage. I had to get on a train,. I didn't get in until one in the morning.. Then I have another show, and another show.. It's gonna be like almost nine days. Without resting my voice and my body and my mind.. I'm just really upset that. I don't have anyone that's concerned about. My body and my wellbeing.",Pop,Beyoncé
"You need to stop playing round. With all them clowns and the wangstas. Good girls gotta get down. With them Gangstas. Go head girl put some back. And some neck up on it. While I stand up in the background. And check up on it. Uh boy, you looking like you like. What you see. Won't you come over check up on it. I'ma let you work up on it. Ladies let them check up on it. Watch it while he check up on it. Dip it, pop it, twork it, stop it. Check on me tonight. If you got flaunt it. Boy, I know you want it. While I turn around. You watch me check up on it. Uh, you watchin me shake it. I see it in your face. Ya can't take it, it's blazin. You rock me it amaze me. You can look at it. As long as you don't grab it. If you don't go braggin. I'ma let you have it. You think that I'm teasin. but I ain't got no reason. I'm sure that I can please ya. but first I gotta read you. Uh boy, you looking like you like. What you see. Won't you come over check up on it. Im'ma let you work up on it. Ladies let them check up on it. Watch it while he check up on it. Dip it, pop it, twork it, stop it. Check on me tonight. Uh boy, you looking like you like. What you see. Won't you come over check up on it. Im'ma let you work up on it. Ladies let them check up on it. Watch it while he check up on it. Dip it, pop it, twork it, stop it. Check on me tonight. I can tell you wanna taste it. But I'm gonna make you chase it. You got to be patient. I like my men patient. My patience, you takes my. Get you in more places. You can't be abrasive. Has to know to pace it. If I let you get up on it. You gotta make a promise. That you gone put it on me. Like no ones put it on me. Don't bore me, just show me. All men talk but don't please. I can be a tease. But I really wanna please you. Uh boy, you looking like you like. What you see. Won't you come over check up on it. Im'ma let you work up on it. Ladies let them check up on it. Watch it while he check up on it. Dip it, pop it, twork it, stop it. Check on me tonight. Uh boy, you looking like you like. What you see. Won't you come over check up on it. Im'ma let you work up on it. Ladies let them check up on it. Watch it while he check up on it. Dip it, pop it, twork it, stop it. Check on me tonight. I'm checking on you boo. Do what chu do. And while dance I'ma glance,. At this beautiful view. I'm keep my hand in my pants. I need to glue em white glue. I'm in a trance. All eyes on you. And your crew. Me and my mans don't dance,. But to feel ya'll bump and grind. If won't hurt if you gone. Try one time. They all hot. But let me see this ones mine. It's slim thug. And Dc outta H town. Uh boy, you looking like you like. What you see. Won't you come over check up on it. Im'ma let you work up on it. Ladies let them check up on it. Watch it while he check up on it. Dip it, pop it, twork it, stop it. Check on me tonight. Uh boy, you looking like you like. What you see. Won't you come over check up on it. Im'ma let you work up on it. Ladies let them check up on it. Watch it while he check up on it. Dip it, pop it, twork it, stop it. Check on me tonight. Uh boy, you looking like you like. What you see. Won't you come over check up on it. Im'ma let you work up on it. Ladies let them check up on it. Watch it while he check up on it. Dip it, pop it, twork it, stop it. Check on me tonight. Uh boy, you looking like you like. What you see. Won't you come over check up on it. Im'ma let you work up on it. Ladies let them check up on it. Watch it while he check up on it. Dip it, pop it, twork it, stop it. Check on me tonight",Pop,Beyoncé
